Headline,Sentiment,Score
AAPL opens market at highest price since Trump tariff bombshell,Neutral,0.0
Apple stock drops almost 10% on market open in reaction to new tariffs,Neutral,0.06818181818181818
"AAPL crumble: stock hit again, as White House clarifies 145% China tariff rate",Neutral,0.0
Three ways US iPhone buyers could avoid 40% price rises from Trump tariffs,Neutral,0.0
"Apple's 'complete disaster,' Microsoft's tariff uncertainty, and Amazon's vibe: Tech news roundup",Neutral,0.1
Apple's CEO met with 'the next generation of developers' in DeepSeek's hometown,Neutral,0.0
"Apple might up its AI game with a $1 billion order of Nvidia servers, analyst says",Negative,-0.4
Apple is about to spend $1 billion on NVIDIA servers for AI: analyst,Neutral,0.0
Google and Apple found in violation of EU law,Neutral,0.0
Apple is investing another $99 million in renewable energy in China,Neutral,0.0
